Price,Open,High,Low,Close,Volume,Difference
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
Date,,,,,,
2021-02-01,1077.5667997697462,1101.1765906055678,1069.3377684222917,1086.485107421875,8880279,18.82763671875
2021-02-02,1102.9428466076697,1115.3509746689713,1088.8113703485435,1095.4031982421875,6892490,8.9180908203125
2021-02-03,1100.9179880401161,1123.6230806340604,1096.911182244754,1106.94970703125,8182968,11.5465087890625
2021-02-04,1107.251292527457,1114.4893764883388,1096.0926542603552,1102.3828125,5032240,-4.56689453125
2021-02-05,1108.4579723572006,1110.482886166001,1087.4330959002857,1096.135986328125,5477481,-6.246826171875
2021-02-08,1107.682211859104,1128.7932302881572,1099.0654696431639,1123.2354736328125,6921922,27.0994873046875
2021-02-09,1126.1219793119321,1147.7499796635198,1118.3237860998943,1124.958740234375,7965949,1.7232666015625
2021-02-10,1116.5573926368966,1123.924643422674,1106.0449050184593,1117.1605224609375,5951207,-7.7982177734375
2021-02-11,1110.6981296088,1116.7298494747902,1105.5712097966468,1113.84326171875,4673317,-3.3172607421875
2021-02-12,1124.484893216906,1140.641285360827,1121.5121591363622,1128.6209716796875,5797875,14.7777099609375
2021-02-15,1137.4101296779754,1144.6482151765338,1126.294509646424,1128.4918212890625,4363513,-0.129150390625
2021-02-16,1132.2399092154096,1137.194535910987,1108.113031393468,1111.9044189453125,6896421,-16.58740234375
2021-02-17,1111.9044468739928,1115.4372901782608,1098.6346427016474,1104.063232421875,4575741,-7.8411865234375
2021-02-18,1099.4962778682911,1125.3465038369814,1098.6346036693349,1113.6707763671875,6437551,9.6075439453125
2021-02-19,1116.8157821474692,1119.7454951301386,1100.185535095986,1112.6798095703125,5389696,-0.990966796875
2021-02-22,1115.8681194822566,1127.543847285139,1085.7095216584119,1090.190185546875,7371303,-22.4896240234375
2021-02-23,1095.3172307680072,1112.42144338809,1083.5984821457366,1091.18115234375,6612942,0.990966796875
2021-02-24,1085.7526365780805,1100.013281724026,1078.8161170740752,1098.031494140625,4537258,6.850341796875
2021-02-25,1110.2242594708928,1119.9612215708016,1096.0497586751758,1098.2470703125,8788221,0.215576171875
2021-02-26,1093.4645216914641,1098.0314368662373,1072.5689230697005,1079.936279296875,15132388,-18.310791015625
2021-03-01,1088.552936758949,1106.8203856747455,1084.8476960408755,1091.7410888671875,5756286,11.8048095703125
2021-03-02,1104.8817047902842,1128.793163014445,1102.2535564971179,1124.053955078125,10461434,32.3128662109375
2021-03-03,1136.7204221811978,1160.6750040567447,1127.0697144069948,1157.7022705078125,9056399,33.6483154296875
2021-03-04,1150.3350531237788,1175.194332673044,1142.4938389671688,1146.3282470703125,12041941,-11.3740234375
2021-03-05,1144.7340809811906,1154.643333469925,1124.527864719399,1134.5662841796875,6486176,-11.761962890625
2021-03-08,1141.5461538089207,1159.8997532734595,1134.9973449862318,1150.9814453125,5119392,16.4151611328125
2021-03-09,1145.5958680350614,1163.6479007526516,1136.33287023034,1159.42578125,6518173,8.4443359375
2021-03-10,1169.205822791716,1183.9404315800884,1167.568620663042,1178.899658203125,7925984,19.473876953125
2021-03-12,1183.0786532905622,1199.1919184391575,1180.5367565245792,1184.6727294921875,9462061,5.7730712890625
2021-03-15,1180.4934534283886,1189.0240475959667,1170.584201812019,1183.595458984375,6658635,-1.0772705078125
2021-03-16,1194.3232363902807,1211.5135898479837,1189.5409038301148,1192.5567626953125,9352771,8.9613037109375
2021-03-17,1199.6658792970159,1206.3438542042177,1190.8337189358776,1195.14208984375,7626744,2.5853271484375
2021-03-18,1200.9583948470276,1200.9583948470276,1131.8090415293782,1152.14453125,10961755,-42.99755859375
2021-03-19,1146.0265128974424,1167.7406573836752,1135.68642405927,1158.4776611328125,12767112,6.3331298828125
2021-03-22,1163.346265133308,1185.663646967112,1151.2828268647472,1181.1829833984375,4862758,22.705322265625
